sleeper_id,full_name,position
3199,Michael Thomas,WR
3202,Austin Hooper,TE
3214,Hunter Henry,TE
3225,Tyler Boyd,WR
3257,Jacoby Brissett,QB
3271,Tyler Higbee,TE
3286,Demarcus Robinson,WR
3294,Dak Prescott,QB
3321,Tyreek Hill,WR
3634,Kalif Raymond,WR
4017,Deshaun Watson,QB
4018,Joe Mixon,RB
4029,Dalvin Cook,RB
4033,David Njoku,TE
4034,Christian McCaffrey,RB
4035,Alvin Kamara,RB
4037,Chris Godwin,WR
4039,Cooper Kupp,WR
4040,JuJu Smith-Schuster,WR
4046,Patrick Mahomes,QB
4054,Mo Alie-Cox,TE
4066,Evan Engram,TE
4068,Mike Williams,WR
4080,Zay Jones,WR
4082,Curtis Samuel,WR
4089,Gerald Everett,TE
4098,Kareem Hunt,RB
4111,D'Onta Foreman,RB
4137,James Conner,RB
4144,Jonnu Smith,TE
4147,Samaje Perine,RB
4149,Jamaal Williams,RB
4171,Josh Reynolds,WR
4177,Mack Hollins,WR
4179,Joshua Dobbs,QB
4197,Isaiah McKenzie,WR
4199,Aaron Jones,RB
421,Matthew Stafford,QB
4217,George Kittle,TE
4234,Noah Brown,WR
4319,Zach Pascal,WR
4351,Tim Patrick,WR
4381,Taysom Hill,TE
4454,Kendrick Bourne,WR
4574,Cooper Rush,QB
4663,Austin Ekeler,RB
4866,Saquon Barkley,RB
4881,Lamar Jackson,QB
4892,Baker Mayfield,QB
4943,Sam Darnold,QB
4950,Christian Kirk,WR
4951,DJ Chark,WR
4972,Mason Rudolph,QB
4973,Hayden Hurst,TE
4981,Calvin Ridley,WR
4983,DJ Moore,WR
4984,Josh Allen,QB
4985,Rashaad Penny,RB
4988,Nick Chubb,RB
4993,Mike Gesicki,TE
5000,Chase Edmonds,RB
5001,Dalton Schultz,TE
5010,Will Dissly,TE
5012,Mark Andrews,TE
5022,Dallas Goedert,TE
5038,Michael Gallup,WR
5045,Courtland Sutton,WR
5046,Royce Freeman,RB
5086,Marquez Valdes-Scantling,WR
5089,Mike White,QB
5113,Cedrick Wilson,WR
5121,Braxton Berrios,WR
5133,Tyler Conklin,TE
5137,Richie James,WR
5154,Trent Sherfield,WR
5185,Allen Lazard,WR
5248,Gus Edwards,RB
5323,Equanimeous St. Brown,WR
5347,Nyheim Hines,RB
5374,Justin Watson,WR
5409,Tanner Hudson,TE
5695,Brandon Powell,WR
5844,T.J. Hockenson,TE
5846,DK Metcalf,WR
5849,Kyler Murray,QB
5850,Josh Jacobs,RB
5854,Drew Lock,QB
5857,Noah Fant,TE
5859,A.J. Brown,WR
5870,Daniel Jones,QB
5872,Deebo Samuel,WR
5880,Parris Campbell,WR
5892,David Montgomery,RB
5906,Dawson Knox,TE
5917,Mecole Hardman,WR
5927,Terry McLaurin,WR
5937,Diontae Johnson,WR
5938,Lil'Jordan Humphrey,WR
5947,Jakobi Meyers,WR
5955,Hunter Renfrow,WR
5965,Miles Boykin,WR
5967,Tony Pollard,RB
5970,Greg Dortch,WR
5973,Josh Oliver,TE
5985,Foster Moreau,TE
5987,Alexander Mattison,RB
5995,Justice Hill,RB
6011,Gardner Minshew,QB
6039,Ty Johnson,RB
6074,Donald Parham,TE
6111,Jake Browning,QB
6126,Irv Smith,TE
6130,Devin Singletary,RB
6136,Jarrett Stidham,QB
6144,Trayveon Williams,RB
6149,Darius Slayton,WR
6151,Miles Sanders,RB
6234,Deonte Harty,WR
6271,Olamide Zaccheaus,WR
6290,Scotty Miller,WR
6421,Jalen Guyton,WR
6598,Trenton Irwin,WR
6659,Craig Reynolds,RB
6694,D'Ernest Johnson,RB
6768,Tua Tagovailoa,QB
6770,Joe Burrow,QB
6783,Jerry Jeudy,WR
6786,CeeDee Lamb,WR
6790,D'Andre Swift,RB
6794,Justin Jefferson,WR
6797,Justin Herbert,QB
6801,Tee Higgins,WR
6803,Brandon Aiyuk,WR
6804,Jordan Love,QB
6805,KJ Hamler,WR
6806,J.K. Dobbins,RB
6813,Jonathan Taylor,RB
6814,Laviska Shenault,WR
6819,Michael Pittman,WR
6820,Clyde Edwards-Helaire,RB
6824,Donovan Peoples-Jones,WR
6826,Cole Kmet,TE
6828,AJ Dillon,RB
6843,Albert Okwuegbunam,TE
6845,Zack Moss,RB
6847,Devin Duvernay,WR
6849,Denzel Mims,WR
6850,Harrison Bryant,TE
6853,Van Jefferson,WR
6865,Colby Parkinson,TE
6869,Adam Trautman,TE
6886,Chase Claypool,WR
6904,Jalen Hurts,QB
6918,Salvon Ahmed,RB
6920,Isaiah Hodgins,WR
6927,Quez Watkins,WR
6931,DeeJay Dallas,RB
6938,Cam Akers,RB
6945,Antonio Gibson,RB
6951,Eno Benjamin,RB
6955,James Robinson,RB
6960,Tyler Johnson,WR
6984,Tony Jones,RB
6989,Marquez Callaway,WR
6996,JaMycal Hasty,RB
7002,Juwan Johnson,TE
7021,Rico Dowdle,RB
7045,Joshua Kelley,RB
7049,Jauan Jennings,WR
7066,K.J. Osborn,WR
7083,Tyler Huntley,QB
7090,Darnell Mooney,WR
7496,Nick Westbrook-Ikhine,WR
7523,Trevor Lawrence,QB
7525,DeVonta Smith,WR
7526,Jaylen Waddle,WR
7527,Mac Jones,QB
7528,Najee Harris,RB
7533,Anthony Schwartz,WR
7535,Hunter Long,TE
7538,Zach Wilson,QB
7543,Travis Etienne,RB
7547,Amon-Ra St. Brown,WR
7553,Kyle Pitts,TE
7561,Elijah Mitchell,RB
7562,Tutu Atwell,WR
7564,Ja'Marr Chase,WR
7565,Terrace Marshall,WR
7567,Kenneth Gainwell,RB
7568,Brevin Jordan,TE
7569,Nico Collins,WR
7571,Rashod Bateman,WR
7585,Davis Mills,QB
7587,Dyami Brown,WR
7588,Javonte Williams,RB
7591,Justin Fields,QB
7593,Trey Sermon,RB
7594,Chuba Hubbard,RB
7595,Tylan Wallace,WR
7596,Elijah Moore,WR
7600,Pat Freiermuth,TE
7601,Rondale Moore,WR
7602,Kylen Granson,TE
7605,Kyle Trask,QB
7606,Kadarius Toney,WR
7607,Michael Carter,RB
7608,Khalil Herbert,RB
7610,Trey Lance,QB
7611,Rhamondre Stevenson,RB
7694,Tommy Tremble,TE
7713,Jaelon Darden,WR
7720,Kene Nwangwu,RB
7757,Ben Skowronek,WR
7794,Chris Evans,RB
7828,Noah Gray,TE
7891,Brock Wright,TE
8110,Jake Ferguson,TE
8111,Cade Otton,TE
8112,Drake London,WR
8114,Erik Ezukanma,WR
8116,Pierre Strong,RB
8117,Jalen Tolbert,WR
8118,David Bell,WR
8119,Jahan Dotson,WR
8121,Romeo Doubs,WR
8122,Zonovan Knight,RB
8123,Hassan Haskins,RB
8125,Calvin Austin,WR
8126,Wan'Dale Robinson,WR
8129,Dameon Pierce,RB
8130,Trey McBride,TE
8131,Isaiah Likely,TE
8132,Tyler Allgeier,RB
8134,Khalil Shakir,WR
8135,Treylon Burks,WR
8136,Rachaad White,RB
8137,George Pickens,WR
8138,James Cook,RB
8139,Zamir White,RB
8140,Justyn Ross,WR
8142,Alec Pierce,WR
8143,Jerome Ford,RB
8144,Chris Olave,WR
8145,Jeremy Ruckert,TE
8146,Garrett Wilson,WR
8147,John Metchie,WR
8148,Jameson Williams,WR
8150,Kyren Williams,RB
8151,Kenneth Walker,RB
8153,Isaiah Spiller,RB
8154,Brian Robinson,RB
8155,Breece Hall,RB
8157,Bailey Zappe,QB
8159,Desmond Ridder,QB
8160,Kenny Pickett,QB
8161,Malik Willis,QB
8162,Sam Howell,QB
8167,Christian Watson,WR
8168,Skyy Moore,WR
8171,Kyle Philips,WR
8172,Greg Dulcich,TE
8174,Kevin Harris,RB
8176,Danny Gray,WR
8180,Jalen Nailor,WR
8183,Brock Purdy,QB
8188,Tyquan Thornton,WR
8195,Ronnie Rivers,RB
8197,Peyton Hendershot,TE
8204,Bo Melton,WR
8205,Isiah Pacheco,RB
8208,Tyler Badie,RB
8210,Chigoziem Okonkwo,TE
8211,Tyrion Davis-Price,RB
8214,Cole Turner,TE
8219,Jelani Woods,TE
8221,Keaontay Ingram,RB
8225,Daniel Bellinger,TE
8228,Jaylen Warren,RB
8230,Ty Chandler,RB
8253,Deven Thompkins,WR
8254,Julius Chestnut,RB
827,Tyrod Taylor,QB
829,Andy Dalton,QB
8408,Jordan Mason,RB
8676,Rashid Shaheed,WR
8800,Malik Davis,RB
9220,Evan Hull,RB
9221,Jahmyr Gibbs,RB
9222,Zach Evans,RB
9224,Chase Brown,RB
9225,Tank Bigsby,RB
9226,De'Von Achane,RB
9227,Israel Abanikanda,RB
9228,Bryce Young,QB
9229,Anthony Richardson,QB
9479,Darnell Washington,TE
9480,Brenton Strange,TE
9481,Luke Musgrave,TE
9482,Michael Mayer,TE
9484,Tucker Kraft,TE
9486,Dontayvion Wicks,WR
9487,Parker Washington,WR
9488,Jaxon Smith-Njigba,WR
9489,Justin Shorter,WR
9490,Tyler Scott,WR
9492,Trey Palmer,WR
9493,Puka Nacua,WR
9494,Marvin Mims,WR
9495,Rakim Jarrett,WR
9497,Jalin Hyatt,WR
9499,Bryce Ford-Wheaton,WR
9500,Josh Downs,WR
9501,DeMario Douglas,WR
9502,Tank Dell,WR
9504,Kayshon Boutte,WR
9505,Deuce Vaughn,RB
9506,Sean Tucker,RB
9508,Tyjae Spears,RB
9509,Bijan Robinson,RB
9511,Keaton Mitchell,RB
9512,DeWayne McBride,RB
96,Aaron Rodgers,QB
9753,Zach Charbonnet,RB
9754,Quentin Johnston,WR
9756,Jordan Addison,WR
9757,Kendre Miller,RB
9758,C.J. Stroud,QB
9997,Zay Flowers,WR
9998,Hendon Hooker,QB
9999,Will Levis,QB
